,서초중학교,,,,,,2026,
,,,,,,,,
,SCHEDULE,,,,,,,
,날짜,요일,시간,장소,상대,스테이지,비고,결과
,Jun 5,Thursday,5:30 PM,이수중학교,vs 방배중학교,조별 스테이지,,
,Jun 12,Thursday,5:30 PM,언남중학교,vs 이수중학교,조별 스테이지,,
,Jul 6,Friday,5:00 PM,이수중학교,vs 내곡중학교,조별 스테이지,,
,Jul 13,Friday,4:30 PM,언남중학교,vs 언남중학교,조별 스테이지,,
